Week,Trend,Price
20/09/2020,86,23.013819
27/09/2020,92,23.719219
04/10/2020,89,24.845911
11/10/2020,90,23.748611
18/10/2020,86,24.395233
25/10/2020,85,23.219561
01/11/2020,72,23.817194
08/11/2020,81,26.452663
15/11/2020,82,26.266516
22/11/2020,73,28.402323
29/11/2020,87,28.696243
06/12/2020,82,28.165293
13/12/2020,86,28.26388
20/12/2020,80,29.535604
27/12/2020,100,29.880646
03/01/2021,98,32.069202
10/01/2021,89,32.542397
17/01/2021,84,31.103081
24/01/2021,85,29.229996
31/01/2021,90,31.911463
07/02/2021,82,32.897301
14/02/2021,78,34.050728
21/02/2021,85,34.218319
28/02/2021,92,36.406872
07/03/2021,89,37.588337
14/03/2021,99,38.172871
21/03/2021,85,38.32148
28/03/2021,92,39.123978
04/04/2021,88,39.619339
11/04/2021,84,38.787125
18/04/2021,82,38.816849
25/04/2021,85,40.154335
02/05/2021,87,41.78904
09/05/2021,82,41.967373
16/05/2021,82,42.007
23/05/2021,83,41.997093
30/05/2021,83,42.868938
06/06/2021,79,41.646584
13/06/2021,80,38.582287
20/06/2021,79,41.407806
27/06/2021,85,40.940205
04/07/2021,82,39.835865
11/07/2021,83,37.726669
18/07/2021,79,37.507793
25/07/2021,81,38.164429
01/08/2021,88,39.945305
08/08/2021,78,41.417759
15/08/2021,80,40.164177
22/08/2021,77,42.273373
29/08/2021,84,40.840714
05/09/2021,79,40.27
12/09/2021,75,39.84